"id";"orderNum";"apnID";"specification";"planned_quantity";"createdDate";"library_user";"top";"bot";"front";"back";"left";"right";"directions";"specs"
106;"25.0072.12";"353934172+35629905-130152015";"7";32;"2025-06-13 10:15:22";"";0;0;0;0;0;0;"";"AN_873"
107;"25.0072.12";"353934172+35629905-1301520P1";"1";32;"2025-06-13 10:15:51";"";0;0;0;0;0;0;"top-bot-left-right";"AN_873"
108;"25.0072.12";"353934172+35629905-1301520P2";"5";32;"2025-06-13 10:16:06";"";0;0;0;0;0;0;"top-bot";"AN_873"
110;"25.0072.12";"353934172+35629905-1301520P3";"2";64;"2025-06-16 09:34:31";"";0;0;0;0;0;0;"top-bot";"AN_873"
116;"25.0108.12";"35640325+35848631-1701000014";"7";32;"2025-06-16 11:11:02";"";0;0;0;0;0;0;"";"BM-024"
117;"25.0108.12";"35640325+35848631-17010000P2";"1";32;"2025-06-16 11:11:59";"";0;0;0;0;0;0;"top-bot";"BM-024"
118;"25.0108.12";"35640325+35848631-17010000P1";"1";32;"2025-06-16 11:12:49";"";0;0;0;0;0;0;"top-bot-left-right-front";"BM-024"
119;"25.0137.14";"10776483-121101002";"6";172;"2025-06-16 14:23:49";"";0;0;0;0;0;0;"";"OM-82"
120;"25.0137.14";"10776483-1211010PP";"1";172;"2025-06-16 14:26:13";"";0;112;0;0;0;0;"top-bot";"OM-82"
121;"25.0137.14";"10776483-1211010BB";"4";172;"2025-06-16 14:26:42";"";0;0;0;0;0;0;"top-bot";"OM-82"
